artist,link,song,text
Children,/c/children/bought+me+a+cat_20590461.html,Bought Me A Cat,"Bought me a cat and the cat pleased me,  
I fed my cat under yonder tree.  
Cat goes fiddle-i-fee.  
  
Bought me a hen and the hen pleased me,  
I fed my hen under yonder tree.  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a duck and the duck pleased me,  
I fed my duck under yonder tree.  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a goose and the goose pleased me  
I fed my goose under yonder tree.  
Goose goes hissy, hissy,  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a sheep and the sheep pleased me,  
I fed my sheep under yonder tree.  
Sheep goes baa, baa,  
Goose goes hissy, hissy,  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a pig and the pig pleased me,  
I fed my pig under yonder tree.  
Pig goes oink, oink,  
Sheep goes baa, baa,  
Goose goes hissy, hissy,  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a cow and the cow pleased me,  
I fed my cow under yonder tree.  
Cow goes moo, moo,  
Pig goes oink, oink,  
Sheep goes baa, baa,  
Goose goes hissy, hissy,  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a horse and the horse pleased me,  
I fed my horse under yonder tree.  
Horse goes neigh, neigh,  
Cow goes moo, moo,  
Pig goes oink, oink,  
Sheep goes baa, baa,  
Goose goes hissy, hissy,  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.  
  
Bought me a dog and the dog pleased me,  
I fed my dog under yonder tree.  
Dog goes bow-wow, bow-wow,  
Horse goes neigh, neigh,  
Cow goes moo, moo,  
Pig goes oink, oink,  
Sheep goes baa, baa,  
Goose goes hissy, hissy,  
Duck goes quack, quack,  
Hen goes chimmy-chuck, chimmy-chuck,  
Cat goes fiddle-i-fee.

"
Cliff Richard,/c/cliff+richard/gut+dass+es+freunde+gibt_20032133.html,"Gut, Dass Es Freunde Gibt","(Power to all our friends)  
  
  
Refr:-  
Gut, dass es Freunde gibt, und Musik, die man nie vergisst  
Gut ist alles, was jemand liebt, es ist gut, dass du bei mir bist  
  
  
Da ist ein Mann, der lebt fuer seine Rosen  
Sie sind das Glueck fuer ihn, schoen, dass Blumen blueh'n  
Und eine Dame malt jeden Tag ein Bild  
Nur aus Freude dran, schoen, dass sie das kann  
Und da bin ich und denke an uns zwei und hoere unser Lied  
Und habe etwas, das mir bleibt, was immer auch geschieht  
  
  
(Refr.)  
  
  
Da geht ein Mann hinter seinem Pflug  
Er lebt von seiner Erde, gut, dass sie ihn naehrt  
Ein Maedchen liegt am Strand von Monte Carlo  
Die Sonne streichelt sie, schoen, dass Sonne waermt  
Denn da bin ich und denke an uns zwei und hoere unser Lied  
Und habe etwas, das mir bleibt, was immer auch geschieht  
  
  
(Refr.)  
  
  
Denn da bin ich und denke an uns zwei und hoere unser Lied  
Und habe etwas, das mir bleibt, was immer auch geschieht  
  
  
(Refr.)  
  
  
Gut ist alles, was jemand liebt, es ist gut, dass du bei mir bist

"
INXS,/i/inxs/im+just+a+man_20067757.html,I'm Just A Man,"I'm just a man  
My will is so strong  
When I've got plans  
I close my eyes to the pain  
My mother ran  
My father left town  
But we still have  
What's necessary to go on  
Flesh and blood  
Flesh and blood  
  
I'm part of you  
You're part of me  
There's nothing said  
That cannot be undone  
  
My brothers sane  
His heart is so strong  
He's killed some pain  
To himself nearly did the same  
It washed away  
Into the cruel sea  
Like everything  
That's built upon the sand  
  
Flesh and blood  
Flesh and blood  
  
Sweet sister T  
She loved so long and hard  
Kept to herself  
Until that right man came along  
Some men they lie  
Some men they cheat  
But now she's found  
Someone to be as strong  
  
I'm just a man  
My will is so strong  
When I've got plans  
I close my eyes to the pain  
My Father ran (Flesh and blood)  
My Mother left town  
But we still have (Flesh and blood)  
What's necessary to go on  
  
I'm part of you  
Your part of me

"
Johnny Cash,/j/johnny+cash/flesh+and+blood_20194897.html,Flesh And Blood,"Beside a singing mountain stream  
Where the willow grew  
  
Where the silver leaf of maple  
Sparkled in the morning dew  
I braided twigs of willows  
Made a string of buckeye beads  
But flesh and blood needs flesh And blood  
And you're the one I need  
Flesh and blood needs flesh and blood  
And you're the one I need  
  
I leaned against a bark of birch  
And I breathed the honey dew  
I saw a North-bound flock of geese  
Against a sky of baby blue  
Beside the lily pads  
I carved a whistle from a reed  
Mother Nature's quite a lady  
But you're the one I need  
Flesh and blood needs flesh and blood  
And you're the one I need.  
  
A cardinal sang just for me  
And I thanked him for the song  
Then the sun went slowly down the west  
And I had to move along  
These were some of the things  
  
On which my mind and spirit feed  
But flesh and blood need flesh and blood  
And you're the one I need  
Flesh and blood needs flesh and blood  
And you're the one I need.  
  
So when this day was ended  
I was still not satisfied  
For I knew everything I touched  
Would wither and would die  
And love is all that will remain  
And grow from all these seeds  
  
Mother Nature's quite a lady  
But you're the one I need  
Flesh and blood needs flesh and blood  
And you're the one I need.

"
Train,/t/train/lincoln+avenue_10235616.html,Lincoln Avenue,"Well I guess this is where I left my life  
And all its operations  
And I know that I will never get this twice  
With all negotiations  
  
This feels like the place between what is and might have been  
So I guess this is where we both find out  
If this was meant to be  
And I'll tell myself, I don't need you  
I'll tell myself enough to get me through  
But I'll finally show you how I should have been being with you every day  
If you can take a little more  
  
Now it takes me back to times on Lincoln Avenue  
When you said you'd never get tired of the boy  
That seemed to be so far from growing up  
But we were different then  
  
This feels like the place between being ready and being in the way  
And I'll tell myself, I don't need you  
I'll tell myself enough to get me through  
But I'll finally show you how I should have been being with you every day  
If you can wait a little more  
  
This feels like the time that I'm ready for you  
Are you ready for me  
Cause I'll tell myself I'll make it through  
I'll tell myself anything to get over you  
  
And I won't blame you but I'm finally ready to show you  
That I'm ready to show you, I'm ready to show you, yeah  
I'll tell myself that I never needed anybody anyway, but anyway  
I need you  
I need you now  
I need you now  
I'm ready now

"
W.A.S.P.,/w/wasp/tormentor_20326222.html,Tormentor,"I'm a liar and I'm a cheat  
I have no morals and I'm a thief  
Pillage and plunder, curse those who enter  
I am a killer and Tormentor  
Tormentor  
Tormentor  
Tormentor  
Tormentor  
I'm a sinner, I kiss the breast  
I am a sadist that whips the flesh  
I'll take the women, curse those who enter  
I am a killer and Tormentor  
Tormentor  
Tormentor  
Tormentor  
Tormentor  
I am the lord of liars  
And I command the force of Fire  
Tormentor  
Tormentor  
Tormentor  
Tormentor

"
Weird Al Yankovic,/w/weird+al+yankovic/slime+creatures+from+outer+space_20145700.html,Slime Creatures From Outer Space,"Things just haven't been the same  
Since the flying saucer came  
Now the aliens are on the loose  
  
Well, we tried to hold 'em back  
Tried to ward off their attack  
But our atom bombs were just no use  
  
They were ugly, they were mean  
Biggest heads I ever seen  
They made everybody scream and shout  
  
First they leveled Tokyo  
Then New York was next to go  
Boy I really wish they'd cut it out  
  
They wasted everybody on my block  
There goes the neighborhood  
They'll zap you with their death ray eyes  
And blow you up real good  
  
Run for your lives  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
They're not very nice to the human race  
(Slime creatures from outer space)  
  
There's more comin' every day  
And they just won't go away  
Now they're reproducing in the sewers  
  
They got slimy lizard skin  
And an evil lookin' grin  
And they sure could use some manicures  
  
They got hands all covered with fungus  
They got eyes like some kinda bug  
I sure hope they don't come in here  
I just shampooed the rug  
  
Run for your lives  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
  
They're really makin' a mess of this place.  
(Slime creatures)  
(Slime creatures)  
  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
  
They'll rip your head off just for fun  
They'll paralyze your mind  
They're wearin' out their welcome  
  
I don't think I like their kind  
They'll suck your brain out through a straw  
You just can't trust those guys  
  
So hide the children, lock the doors  
And always watch the skies  
Look out, here come the  
  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
They're an intergalactic disgrace  
  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
I wish they'd just get outta my face  
(Slime creatures from outer space)  
(Slime creatures from outer space)  
  
They're makin' a big fat mess of this place  
(Slime creatures)  
(Slime creatures)  
  
Oh, where did they come from?  
What do they want from us?  
Who do they think they are?  
(Slime creatures, slime creatures)  
  
Why don't they leave me alone?  
(Slime creatures, slime creatures.)  
They're really getting on my nerves

"
Whitesnake,/w/whitesnake/spit+it+out_20146297.html,Spit It Out,"I never knew what a kiss could mean  
Until the first time I kissed you,  
You took my love in the palm of your hand  
An' showed me what a woman could do  
Now I don't want sugar coated loving  
Just silver tongue tenderness,  
You gotta give me a certain satisfaction  
The kind of love you seal with a kiss  
  
An' spit it out, spit it out, spit it out  
If you don't like it  
Spit it out, spit it out, spit it out  
If you don't like it  
  
I can remember, I can recall  
When I first set my eyes on you,  
I'll never forget the thrill of it all  
Dreaming of the things we could do  
Baby, you must be crazy,  
Fooling with a man like me,  
'cause I roll my dice with a heart of ice  
An' make it clear to see  
  
Spit it out, spit it out, spit it out  
If you don't like it  
Spit it out, spit it out, spit it out  
If you don't like it  
  
I never knew what a kiss could mean  
'Til the first time I kissed you,  
You took my love in the palm of your hand  
An' showed me what a woman could do  
Your sweet caress an' tenderness  
Can take the pain away,  
The things that you do make a queen out of you  
An' make me a king for a day  
  
If you don't like it, spit it out  
  
Now I know what your love can do  
I'll be hanging 'round your door,  
An' I'm gonna love you baby,  
I'll give you more than you bargained for  
  
Spit it out, spit it out, spit it out  
If you don't like it  
Spit it out, spit it out, spit it out  
If you don't like it  
  
Spit it out, if you don't like it

"
ZZ Top,/z/zz+top/i+dont+wanna+lose+lose+you_21033665.html,"I Don't Wanna Lose, Lose, You","Sometimes it's hard to make things clear  
Or know when to face the truth  
And I know that the moment is here  
I'll open my heart and show you inside  
My love has no pride  
  
I feel with you I've got nothing to hide  
So open your eyes and see who I am  
And not who you want for me to be  
I am only myself, myself  
  
I don't wanna lose you now  
We're gonna get through somehow  
I don't wanna lose you now or ever  
  
Baby I've finally found  
The Courage to stand my ground  
But if you want me  
I'll be around, forever  
  
We all make mistakes, we all lose our way  
But we stood the test of time and I hope  
That's the way it will stay  
It's all up to you, to tell me to go  
'Cause it won't be me to walk away  
When you're all that I know  
And I know that  
  
I don't wanna lose you now  
We're gonna get through somehow  
I don't wanna lose you now or ever and ever  
Baby I've finally found  
The courage to stand my ground  
  
But if you want me  
I'll be around, forever, forever, yeah , yeah  
  
Don't wanna lose you , lose you now  
We're gonna get through somehow  
Don't wanna lose you now  
Don't wanna lose you  
Don't wanna lose you

"
Bon Jovi,/b/bon+jovi/flesh+and+bone_20811848.html,Flesh And Bone,"They judge you by your money  
Or the color of your skin  
They read you by the cover  
Don't take time to read within  
  
They judge you without jury  
And you struggle to believe  
No one could hear your story  
Even justice had to leave  
All I know  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
(Man is made of flesh and bone)  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
  
They build the walls around you  
They tell you, you don't fit  
Still you think you know me  
You don't know the half of it  
  
I'm a beggar, you're a savior  
I'm your devil, you're a thief  
I'll be here until you realize  
I'm you and you are me  
  
All that I know  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
(Man is made of flesh and bone)  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
(Man is made of flesh and bone)  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
  
Do the cuts bleed any different  
On a pauper or a king?  
When it comes down to dyin'  
The crown don't mean a thing, no, no, no, no  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
(Man is made of flesh and bone)  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
(Man is made of flesh and bone)  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone  
(Man is made of flesh and bone)  
  
All we are is all alone  
(Man is made of flesh and bone)  
Man is made of flesh and bone

"
Children,/c/children/alouette+english+translation_20590525.html,Alouette (english Translation),"Lark, nice Alouette Lark I will pluck you Alouette,  
Nice Alouette Lark  
I will pluck you  
I will pluck you the head  
I will pluck you the head  
And the head, and the head Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark I will pluck you Lark,  
Nice Alouette Lark I will pluck you Alouette,  
Nice Alouette Lark I will pluck you  
I will pluck you the nose  
I will pluck you the nose  
And the nose, and the nose Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark I will pluck you Lark,  
Nice Alouette Lark I will pluck you Alouette,  
Nice Alouette Lark I will pluck you  
I will pluck you the eyes  
I will pluck you the eyes  
And the eyes, and the eyes Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark I will pluck you Lark,  
Nice Alouette Lark I will pluck you Alouette,  
Nice Alouette Lark I will pluck you  
I will pluck you the neck  
I will pluck you the neck  
And the neck, and the neck Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark I will pluck you Lark,  
Nice Alouette Lark I will pluck you Alouette,  
Nice Alouette Lark I will pluck you  
I will pluck you the wings  
I will pluck you the wings  
And the wings, and the wings Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark I will pluck you Lark,  
Nice Alouette Lark I will pluck you  
Alouette, nice Alouette Lark  
I will pluck you  
I will pluck you the back  
I will pluck you the back  
And the back, and the back Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark  
I will pluck you Lark,  
Nice Alouette Lark  
I will pluck you Alouette,  
Nice Alouette Lark  
I will pluck you  
I will pluck you the legs  
I will pluck you the legs  
And the legs, and the legs Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark  
I will pluck you Lark,  
Nice Alouette Lark  
I will pluck you Alouette,  
Nice Alouette Lark I will pluck you  
I will pluck you the tail  
I will pluck you the tail  
And the tail, and the tail Alouette,  
Alouette O-o-o-o-oh Alouette,  
Nice Alouette Lark I will pluck you

"
Dave Matthews Band,/d/dave+matthews+band/old+woman+on+a+train_20639113.html,Old Woman On A Train,"Caught the train from Warrabrook  
All the way into Hornsby.  
But somehow we got stuck  
Next to a fat spastic old lady.  
  
She had a stereo  
And a granny pram.  
A big fat ugly gut  
And a pink bum-bag.  
  
Yeah - Yeah!  
  
All stations to Central.  
She's been herer since New Castle.  
And the Knights are gunna win the comp'  
  
Yeah. Yeah.  
Old Woman on a train.  
  
She had some Choc-Wheaton's  
Some plastic tupperware.  
She hated all Asians  
Cause ""they're not from round here""  
  
Yeah - Yeah!  
  
All stations to Central.  
She's been herer since New Castle.  
And the Knights are gunna win the comp'  
  
Yeah. Yeah.  
Old Woman on a train.  
  
All stations to Central.  
She's been herer since New Castle.  
And the Knights are gunna win the comp'  
  
Yeah. Yeah.  
Old Woman on a train.  
Yeah. Yeah. Yeah.  
Old Woman on a train.  
Yeah. Yeah.  
Old Woman on a train.  
Yeah. Yeah. Yeah.  
Old Woman on a train.

"
Frank Zappa,/f/frank+zappa/frogs+with+dirty+little+lips_20056880.html,Frogs With Dirty Little Lips,"Frank zappa (lead vocals)  
Ray white (background vocals)  
Bobby martin (background vocals)  
Roy estrada (background vocals)  
Bob harris (background vocals)  
Steve vai (guitar)  
Tommy mars (keyboards)  
Ed mann (percussion)  
Arthur barrow (bass)  
Chad wackerman (drums)  
Frogs with dirty little lips  
Dirty little warts on their finger-tips  
Dirty 'n green  
Tiny 'n mean  
Floppin' around  
By the edge of the stream  
Frogs with dirty little eyes  
Dirty little tongues all covered with flies  
Dirty brown  
Floppin' around  
Puffed up 'n bloated  
When the sun goes down  
Frogs with dirty little nose  
Dirty little spots all over their clothes  
Dirty legs  
Dirty feet  
Dirty little frogs is what you eat  

"
Great Big Sea,/g/great+big+sea/donkey+riding_10138588.html,Donkey Riding,"Way hey and a way we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.  
  
Was you ever in Quebec launching timber on the deck ,where ya  
Break a bleeding neck riding on a donkey.  
  
Way hey and a way we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.  
  
Was you ever round Cape Horn where the weathers never warm,  
Wish to god you'd never been born riding on a donkey.  
  
Way hey and away we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.  
  
Was you ever in Miramichi where they you tie up to a tree,  
Have a girl sit on your knee riding on a donkey.  
  
Way hey and a way we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.  
  
Was you ever in Fortune Bay hear the girls all shout hurray,here  
Comes dad with dead months pay riding on a donkey.  
  
Way hey and a way we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.  
  
Was you ever in Fredericton seeing the king he does come down,  
See the king in his golden crown riding on a donkey.  
  
Way hey and a way we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.  
  
Way hey and a way we go donkey riding donkey riding,  
Way hey and away we go riding on a donkey.

"
Helloween,/h/helloween/dont+spit+on+my+mind_20065123.html,Don't Spit On My Mind,"Every lie will win a prize  
Love sold by a whore  
Calculated sacrifice  
Death without a war  
Aftermath and alibis  
Straw-doll-chess to please the poor  
  
Don't tell me of any wonders shitting gold  
Don't tell me of a hard way we have to go through  
Still we pay your warmth out of the cold  
Do you really think we're that blind?  
Don't spit on my mind  
Don't spit on my mind  
Don't spit on my mind  
  
Any form of government  
Has a black sheep part  
But the brave will never know  
What the black sheeps start  
In the name of country-love  
they enrich themselves apart  
  
Don't tell me of any wonders shitting gold  
Don't tell me of a hard way we have to go through  
Still we pay your warmth out of the cold  
Do you really think we're that blind?  
Don't spit on my mind  
Don't spit on my mind  
Don't spit on my mind  
  
We are the people, we are the masses you are for  
We give the power and our desire must be your law  
Don't think I'm standing here all alone, one of a kind  
Don't think because you're still there  
Means that we are all blind  
Don't spit on my mind  
Don't spit on my mind  
Don't spit on my mind

"
